,Date
0,"Jun 03, 2017"
1,"Jun 04, 2017"
2,"Jun 05, 2017"
3,"Jun 06, 2017"
4,"Jun 07, 2017"
5,"Jun 08, 2017"
6,"Jun 09, 2017"
7,"Jun 10, 2017"
8,"Jun 11, 2017"
9,"Jun 12, 2017"
10,"Jun 13, 2017"
11,"Jun 14, 2017"
12,"Jun 15, 2017"
13,"Jun 16, 2017"
14,"Jun 17, 2017"
15,"Jun 18, 2017"
16,"Jun 19, 2017"
17,"Jun 20, 2017"
18,"Jun 21, 2017"
19,"Jun 22, 2017"
20,"Jun 23, 2017"
21,"Jun 24, 2017"
22,"Jun 25, 2017"
23,"Jun 26, 2017"
24,"Jun 27, 2017"
25,"Jun 28, 2017"
26,"Jun 29, 2017"
27,"Jun 30, 2017"
28,"Jul 01, 2017"
29,"Jul 02, 2017"
30,"Jul 03, 2017"
31,"Jul 04, 2017"
32,"Jul 05, 2017"
33,"Jul 06, 2017"
34,"Jul 07, 2017"
35,"Jul 08, 2017"
36,"Jul 09, 2017"
37,"Jul 10, 2017"
38,"Jul 11, 2017"
39,"Jul 12, 2017"
40,"Jul 13, 2017"
41,"Jul 14, 2017"
42,"Jul 15, 2017"
43,"Jul 16, 2017"
44,"Jul 17, 2017"
45,"Jul 18, 2017"
46,"Jul 19, 2017"
47,"Jul 20, 2017"
48,"Jul 21, 2017"
49,"Jul 22, 2017"
50,"Jul 23, 2017"
51,"Jul 24, 2017"
52,"Jul 25, 2017"
53,"Jul 26, 2017"
54,"Jul 27, 2017"
55,"Jul 28, 2017"
56,"Jul 29, 2017"
57,"Jul 30, 2017"
58,"Jul 31, 2017"
59,"Aug 01, 2017"
60,"Aug 02, 2017"
61,"Aug 03, 2017"
62,"Aug 04, 2017"
63,"Aug 05, 2017"
64,"Aug 06, 2017"
65,"Aug 07, 2017"
66,"Aug 08, 2017"
67,"Aug 09, 2017"
68,"Aug 10, 2017"
69,"Aug 11, 2017"
70,"Aug 12, 2017"
71,"Aug 13, 2017"
72,"Aug 14, 2017"
73,"Aug 15, 2017"
74,"Aug 16, 2017"
75,"Aug 17, 2017"
76,"Aug 18, 2017"
77,"Aug 19, 2017"
78,"Aug 20, 2017"
79,"Aug 21, 2017"
80,"Aug 22, 2017"
81,"Aug 23, 2017"
82,"Aug 24, 2017"
83,"Aug 25, 2017"
84,"Aug 26, 2017"
85,"Aug 27, 2017"
86,"Aug 28, 2017"
87,"Aug 29, 2017"
88,"Aug 30, 2017"
89,"Aug 31, 2017"
90,"Sep 01, 2017"
91,"Sep 02, 2017"
92,"Sep 03, 2017"
93,"Sep 04, 2017"
94,"Sep 05, 2017"
95,"Sep 06, 2017"
96,"Sep 07, 2017"
97,"Sep 08, 2017"
98,"Sep 09, 2017"
99,"Sep 10, 2017"
100,"Sep 11, 2017"
101,"Sep 12, 2017"
102,"Sep 13, 2017"
103,"Sep 14, 2017"
104,"Sep 15, 2017"
105,"Sep 16, 2017"
106,"Sep 17, 2017"
107,"Sep 18, 2017"
108,"Sep 19, 2017"
109,"Sep 20, 2017"
110,"Sep 21, 2017"
111,"Sep 22, 2017"
112,"Sep 23, 2017"
113,"Sep 24, 2017"
114,"Sep 25, 2017"
115,"Sep 26, 2017"
116,"Sep 27, 2017"
117,"Sep 28, 2017"
118,"Sep 29, 2017"
119,"Sep 30, 2017"
120,"Oct 01, 2017"
121,"Oct 02, 2017"
122,"Oct 03, 2017"
123,"Oct 04, 2017"
124,"Oct 05, 2017"
125,"Oct 06, 2017"
126,"Oct 07, 2017"
127,"Oct 08, 2017"
128,"Oct 09, 2017"
129,"Oct 10, 2017"
130,"Oct 11, 2017"
131,"Oct 12, 2017"
132,"Oct 13, 2017"
133,"Oct 14, 2017"
134,"Oct 15, 2017"
135,"Oct 16, 2017"
136,"Oct 17, 2017"
137,"Oct 18, 2017"
138,"Oct 19, 2017"
139,"Oct 20, 2017"
140,"Oct 21, 2017"
141,"Oct 22, 2017"
142,"Oct 23, 2017"
143,"Oct 24, 2017"
144,"Oct 25, 2017"
145,"Oct 26, 2017"
146,"Oct 27, 2017"
147,"Oct 28, 2017"
148,"Oct 29, 2017"
149,"Oct 30, 2017"
150,"Oct 31, 2017"
151,"Nov 01, 2017"
152,"Nov 02, 2017"
