,Price,Change %,Volx1M
0,0.003213,14.63,4.37
1,0.00377,17.34,5.96
2,0.003718,-1.38,4.82
3,0.003617,-2.72,2.11
4,0.00325,-10.15,1.37
5,0.003431,5.57,1.54
6,0.003426,-0.15,3.43
7,0.003278,-4.32,2.24
8,0.003454,5.37,2.44
9,0.00299,-13.43,2.42
10,0.003187,6.59,2.29
11,0.002824,-11.39,3.64
12,0.002936,3.97,4.35
13,0.003058,4.16,7.4
14,0.003246,6.15,5.56
15,0.002994,-7.76,6.07
16,0.003168,5.81,5.95
17,0.003104,-2.02,4.15
18,0.002963,-4.54,4.09
19,0.002987,0.81,9.05
20,0.003074,2.91,3.57
21,0.0029,-5.66,3.96
22,0.002573,-11.28,2.35
23,0.002516,-2.22,1.62
24,0.002534,0.72,2.96
25,0.0028,10.5,4.49
26,0.002534,-9.5,7.95
27,0.002555,0.83,9.93
28,0.002239,-12.37,10.45
29,0.00246,9.87,8.13
30,0.002502,1.71,8.89
31,0.002525,0.92,13.04
32,0.00265,4.95,11.65
33,0.002688,1.43,13.18
34,0.002382,-11.38,8.29
35,0.002351,-1.3,5.23
36,0.002284,-2.85,6.93
37,0.00218,-4.55,5.87
38,0.00218,0.0,0.0
39,0.001848,-15.23,8.91
40,0.001783,-3.52,10.59
41,0.001661,-6.84,14.95
42,0.001466,-11.74,10.31
43,0.001305,-10.98,19.14
44,0.001563,19.77,9.72
45,0.001802,15.29,4.21
46,0.001637,-9.16,3.01
47,0.001872,14.36,5.19
48,0.001949,4.11,1.32
49,0.002093,7.39,1.05
50,0.002007,-4.11,2.39
51,0.002025,0.9,2.8
52,0.001759,-13.14,7.03
53,0.001783,1.36,1.32
54,0.001842,3.31,6.8
55,0.001767,-4.07,6.63
56,0.001744,-1.3,5.3
57,0.001686,-3.33,4.32
58,0.001674,-0.71,5.94
59,0.001781,6.39,7.04
60,0.001846,3.65,7.6
61,0.001763,-4.5,5.88
62,0.001819,3.18,5.85
63,0.002068,13.69,7.38
64,0.001936,-6.38,4.69
65,0.001948,0.62,7.77
66,0.001965,0.87,8.21
67,0.001915,-2.54,6.21
68,0.001935,1.04,7.11
69,0.001871,-3.31,7.38
70,0.001854,-0.91,7.0
71,0.001779,-4.05,8.3
72,0.001754,-1.41,11.67
73,0.001699,-3.14,7.54
74,0.001766,3.94,7.43
75,0.001696,-3.96,7.85
76,0.001653,-2.54,8.97
77,0.001661,0.48,5.91
78,0.001682,1.26,5.62
79,0.001687,0.3,6.68
80,0.001699,0.71,7.1
81,0.001702,0.18,6.22
82,0.001805,6.05,5.88
83,0.001724,-4.49,7.88
84,0.001752,1.62,6.06
85,0.001755,0.17,7.03
86,0.001794,2.22,163.08
87,0.001891,5.41,1520.0
88,0.002119,12.06,4470.0
89,0.0021,-0.9,3880.0
90,0.002492,18.67,2540.0
91,0.002178,-12.6,844.59
92,0.00216,-0.83,1490.0
93,0.001879,-13.01,1010.0
94,0.002049,9.05,335.01
95,0.002031,-0.88,667.87
96,0.002,-1.53,1360.0
97,0.0018,-10.0,1410.0
98,0.001728,-4.0,1580.0
99,0.001544,-10.65,1800.0
100,0.001522,-1.42,1720.0
101,0.001493,-1.91,1950.0
102,0.001404,-5.96,2260.0
103,0.000953,-32.12,1790.0
104,0.000965,1.26,1090.0
105,0.000914,-5.28,792.78
106,0.000865,-5.36,1600.0
107,0.00094,8.67,330.76
108,0.000876,-6.81,186.74
109,0.000838,-4.34,957.06
110,0.000776,-7.4,1930.0
111,0.000774,-0.26,1630.0
112,0.000944,21.96,1710.0
113,0.00089,-5.72,1610.0
114,0.001146,28.76,370.82
115,0.00115,0.35,48.86
116,0.001159,0.78,118.22
117,0.001109,-4.31,872.99
118,0.001089,-1.8,2150.0
119,0.001168,7.25,1340.0
120,0.001076,-7.88,1940.0
121,0.001051,-2.32,1250.0
122,0.001023,-2.66,1780.0
123,0.001014,-0.88,1480.0
124,0.001007,-0.69,1030.0
125,0.001024,1.69,1230.0
126,0.001042,1.76,505.05
127,0.00106,1.73,62.11
128,0.000976,-7.92,669.53
129,0.000999,2.36,903.6
130,0.001036,3.7,1130.0
131,0.001051,1.45,1200.0
132,0.00102,-2.95,1460.0
133,0.001067,4.61,1170.0
134,0.00108,1.22,1190.0
135,0.001151,6.57,6030.0
136,0.001066,-7.38,16309.999999999998
137,0.001052,-1.31,3210.0
138,0.001069,1.62,2570.0
139,0.00104,-2.71,3870.0
140,0.00098,-5.77,3180.0
141,0.001013,3.37,3150.0
142,0.00101,-0.3,2110.0
143,0.00106,4.95,957.84
144,0.001079,1.79,359.24
145,0.00106,-1.76,494.95
146,0.001042,-1.7,998.25
147,0.001014,-2.69,295.11
148,0.001181,16.47,402.91
149,0.00116,-1.78,535.28
150,0.001147,-1.12,1340.0
151,0.001125,-1.92,1170.0
152,0.00112,-0.44,1530.0
153,0.001133,1.16,1410.0
154,0.001179,4.06,1370.0
155,0.001169,-0.85,1290.0
156,0.001143,-2.22,1380.0
157,0.001169,2.27,1240.0
158,0.001191,1.88,2520.0
159,0.001392,16.88,2500.0
160,0.001158,-16.81,748.05
161,0.001172,1.21,1140.0
162,0.00106,-9.56,1710.0
163,0.001162,9.62,1970.0
164,0.001171,0.77,2790.0
165,0.001295,10.59,2060.0
166,0.001353,4.48,2000.0
167,0.001298,-4.07,2050.0
168,0.00132,1.69,1350.0
169,0.001362,3.18,14.91
170,0.001373,0.81,1310.0
171,0.001376,0.22,2410.0
172,0.001837,33.5,2440.0
173,0.001905,3.7,1520.0
174,0.001903,-0.1,1550.0
175,0.002074,8.99,1470.0
176,0.001957,-5.64,1350.0
177,0.001965,0.41,2380.0
178,0.00236,20.1,2250.0
179,0.002043,-13.43,2360.0
180,0.002053,0.49,1800.0
181,0.002127,3.6,1990.0
182,0.002073,-2.54,1580.0
183,0.002186,5.45,2280.0
184,0.002439,11.57,1750.0
185,0.002467,1.15,1630.0
186,0.002586,4.82,1810.0
187,0.002666,3.09,1790.0
188,0.002692,0.98,1780.0
189,0.002564,-4.75,1640.0
190,0.002519,-1.76,1690.0
191,0.002646,5.04,1460.0
192,0.003126,18.14,1560.0
193,0.003382,8.19,1520.0
194,0.003591,6.18,1180.0
195,0.003659,1.89,1260.0
196,0.005634,53.98,1270.0
197,0.005841,3.67,908.22
198,0.00627,7.34,802.77
199,0.005409,-13.73,907.96
200,0.006392,18.17,1030.0
201,0.007497,17.29,819.43
202,0.006071,-19.02,952.23
203,0.006949,14.46,750.24
204,0.008356,20.25,850.85
205,0.008648,3.49,713.9
206,0.009332,7.91,608.89
207,0.008861,-5.05,505.32
208,0.008244,-6.96,543.3
209,0.009228,11.94,637.88
210,0.007672,-16.86,558.77
211,0.008927,16.36,597.41
212,0.008678,-2.79,575.22
213,0.009,3.71,721.15
214,0.009205,2.28,724.34
215,0.009613,4.43,634.48
216,0.01255,30.55,672.26
217,0.01463,16.57,612.55
218,0.017,16.2,612.39
219,0.01542,-9.29,175.97
220,0.0131,-15.05,503.01
221,0.012839,-1.99,409.95
222,0.011189,-12.85,520.26
223,0.012566,12.31,405.01
224,0.012259,-2.44,415.58
225,0.011232,-8.38,433.41
226,0.009721,-13.45,412.59
227,0.006564,-32.48,681.08
228,0.00762,16.09,621.35
229,0.00753,-1.18,610.96
230,0.007787,3.41,507.54
231,0.008359,7.35,490.14
232,0.006975,-16.56,537.24
233,0.00665,-4.66,599.13
234,0.006605,-0.68,600.76
235,0.00706,6.89,558.02
236,0.00749,6.09,551.98
237,0.007169,-4.29,487.91
238,0.007383,2.99,433.72
239,0.00761,3.07,371.69
240,0.006942,-8.78,396.77
241,0.006136,-11.62,350.67
242,0.006006,-2.11,373.84
243,0.005126,-14.65,497.9
244,0.004566,-10.93,680.94
245,0.00515,12.79,528.22
246,0.00441,-14.37,493.87
247,0.003547,-19.58,628.56
248,0.00442,24.6,908.75
249,0.004222,-4.48,623.93
250,0.00458,8.49,403.36
251,0.005028,9.79,452.54
252,0.005018,-0.19,623.05
253,0.004942,-1.53,428.13
254,0.005548,12.27,384.77
255,0.005694,2.62,356.0
256,0.006785,19.16,1250.0
257,0.007303,7.64,1560.0
258,0.006952,-4.81,886.21
259,0.007035,1.2,597.29
260,0.006463,-8.14,593.33
261,0.006712,3.87,379.13
262,0.007152,6.54,1630.0
263,0.006648,-7.04,966.62
264,0.006233,-6.25,751.21
265,0.006675,7.09,549.22
266,0.006272,-6.04,421.0
267,0.006083,-3.01,376.45
268,0.006294,3.47,307.48
269,0.00633,0.58,296.32
270,0.00607,-4.11,261.75
271,0.006193,2.03,218.76
272,0.005549,-10.41,380.89
273,0.005262,-5.16,377.76
274,0.005466,3.87,298.53
275,0.005261,-3.75,207.74
276,0.004606,-12.45,446.81
277,0.00406,-11.85,508.64
278,0.003995,-1.6,557.51
279,0.004151,3.9,416.08
280,0.003989,-3.91,312.14
281,0.004159,4.28,457.17
282,0.00404,-2.88,288.11
283,0.003971,-1.71,224.99
284,0.003599,-9.36,336.98
285,0.003541,-1.62,537.9
286,0.003523,-0.5,338.28
